"field";"name";"comment"
0  ;NA;NA
1  ;ORO;Surface orography  m**2 s**-2 m
2  ;LandSeaMask;Land-Sea Mask 0/1 0/1
3  ;LandFrac;Land Fraction pu pu
4  ;std_or;Std dev of orography - -
5  ;AniSO ;Anisotropy sbgrd orog - -
6  ;AngSO ;Angle sbgrd orog - -
7  ;SSO   ;Slope sbgrd orog - -
8  ;OroR  ;Orography roughness m m
9  ;SurfR ;Surface roughness m m
10 ;ThR   ;Thermal roughness m m
11 ;ClayFrac;Clay fraction % pu
12 ;SandFrac;Sand fraction % pu
13 ;VegTyp;Veg Type (1-4) (1-4)
14 ;LAI;L.A.I. - -
15 ;RD;Root Depth m m
16 ;SMR;Stomatal min Resistance ? ?
17 ;VegFrac;Vegetation fraction pu pu
18 ;UrbFrac;Urbanisation frctn pu pu
19 ;albedo;Albedo pu pu
20 ;emis;Emissivity pu pu
21 ;CST ;Clim Surf Temperature K \SP\o\SPR\C
22 ;CDST;Clim Deep Soil Temp K \SP\o\SPR\C
23 ;RT;Relax Temperature K \SP\o\SPR\C
24 ;CSW;Clim Surface Wetness m mm
25 ;CDSW;Clim Deep Soil Wetness m mm
26 ;RDSW;Relax Deep Soil Wetness pu pu
27 ;SWR;Surf Water Reservoir m (water equiv) m (water equiv)
28 ;DWR;Deep Water Reservoir m (water equiv) m (water equiv)
29 ;CSR;Clim Snow Reservoir m (water equiv) m (water equiv)
30 ;IR;Interception Reservoir m (water equiv) m (water equiv)
31 ;RE;Res to Evapotranspirn ? ?
32 ;CA;Compl. Albedo pu pu
33 ;M-VG;Max Veg fraction pu pu
34 ;M-RD;Max Root Depth m m
35 ;VR;Vegtn roughness m m
 36;NA;NA
 37;NA;NA
 38;NA;NA
 39;NA;NA
40 ;SLP;Surface pressure Pa hPa
41 ;MSLP;Mean sea level pressure Pa hPa
42 ;IZJ;ICAO zonal Jet m/s m/s
43 ;IMJ;ICAO meridian Jet m/s m/s
44 ;TP;Tropopause Pressure Pa hPa
45 ;ITT;ICAO Tropopause Temper K \SP\o\SPR\C
46 ;TFI;Tropopause Fold Indic - -
47 ;SVV;Surf vertical velocity m/s m/s
48 ;SurfT;Surface Temperature
49 ;DeepT; Deep Soil Temperature
50 ;IntSurfT; Interpolated Surf. Temp.
51 ;SurfSWet; Surface Soil Wetness
52 ;DeepSWet; Deep Soil Wetness
53 ;FrozenSurfWet; Forzen Surface Soil Wetness
54 ;FrozenDeepWet; Fozen Deep Soil Wetness
55 ;SurfRelMoi; Surface Relative Moisture
56 ;SoilM; Soil Moisture
 57;NA;NA
 58;NA;NA
 59;NA;NA
 60;NA;NA
 61;NA;NA
 62;NA;NA
 63;NA;NA
 64;NA;NA
 65;NA;NA
 66;NA;NA
 67;NA;NA
 68;NA;NA
 69;NA;NA
 70;NA;NA
 71;NA;NA
 72;NA;NA
 73;NA;NA
 74;NA;NA
 75;NA;NA
76 ;UpdPronVel;Updraught pron Velocity (m/s)
77 ;DownpronVel; Downdraught pron Velocity (m/s)
78 ;Dens;Density (kg/m**3)
79 ;CAM; Convective Activity Mask
80 ;UPMF;Updraught pron mass flx Pa/s Kg/(s m**2)
81 ;DPMF;Dndraught pron mass flx Pa/s Kg/(s m**2)
82 ;UPV;Updraught pron velocity Pa/s  Pa/s
83 ;UMF;Updraught mesh fraction pu pu
84 ;DPV;Downdraught pron velocity Pa/s Pa/s
85 ;DMF;Downdraught mesh fraction pu pu
86 ;LHP;(RMI) Last hour Precipit m mm
87 ;PTVG;(RMI) Pot Temp Vert grad K/Pa  K/Pa 
88 ;VTG;(RMI) Vertic Temp Grad K/Pa K/Pa
89 ;STW;(RMI) Sect Tangent wind m/s m/s
90 ;SNW;(RMI) Sect Normal wind m/s m/s
91 ;AVA;Absolute Vorticity Adv s**-2 10**-9 /s**2
92 ;RVA;Relative Vorticity Adv s**-2 10**-9 /s**2
93 ;PVA;Potential Vorticity Adv 1.E6PVU/s PVU /s
94 ;TA;Temperature Advection K/s K/h
95 ;H;Height (geopotential) m m
96 ;Z;Geopotential  m**2 s**-2 dam
97 ;P;Pressure Pa hPa
98 ;T;Temperature K \SP\o\SPR\C
99 ;DT;Dewpoint Temperature K \SP\o\SPR\C
100;PT;Potential Temperature K \SP\o\SPR\C
101;WT;Wet Bulb Temperature K \SP\o\SPR\C
102;WPT;Wet Bulb Poten Temper K \SP\o\SPR\C
103;ET;Equiv Temperature K \SP\o\SPR\C
104;EPT;Equiv Poten Temperature K \SP\o\SPR\C
105;Q;Specific humidity kg/kg g/kg
106;R;Relative humidity % %
107;U;U-velocity m/s m/s
108;V;V-velocity m/s m/s
109;W;Vertical velocity Pa/s Pa/s 
110;Div;Divergence per sec 10**-5/sec
111;Vort;Vorticity (relative) s**-1  10**-5/sec
112;AVort;Absolute Vorticity s**-1 10**-5/sec
113;PVort;Potential Vorticity  1.E6 PVU PVU
114;VP;Velocity potential m**2 s**-1 m**2 s**-1
115;SF;Stream Function m/s m/s
116;SHS;Shearing strain - -
117;STS;Stretching strain - -
118;Pdep;NH Pressure departure - -
119;Vdiv;NH Vertical Divergence    
120;Vvel;NH Vertical velocity    
121;NA;NA
122;CLW;Cloud liquid water cnt kg/kg kg/kg
123;CSW;Cloud solid water cnt kg/kg kg/kg
124;NA;NA
