"latitude" "reduced"
-89.731149 18
-89.382874 25
-89.032542 32
-88.681746 40
-88.330774 45
-87.979716 50
-87.628611 60
-87.277476 64
-86.926322 72
-86.575154 72
-86.223977 75
-85.872793 81
-85.521603 90
-85.170409 96
-84.819212 100
-84.468011 108
-84.116809 120
-83.765604 120
-83.414398 125
-83.063191 135
-82.711982 144
-82.360772 150
-82.009562 160
-81.658351 160
-81.307139 180
-80.955926 180
-80.604713 180
-80.2535 192
-79.902286 192
-79.551072 200
-79.199857 216
-78.848642 216
-78.497427 216
-78.146212 225
-77.794996 240
-77.44378 240
-77.092564 243
-76.741348 250
-76.390131 256
-76.038915 270
-75.687698 270
-75.336481 288
-74.985264 288
-74.634047 288
-74.28283 300
-73.931613 300
-73.580395 320
-73.229178 320
-72.87796 320
-72.526743 324
-72.175525 360
-71.824307 360
-71.473089 360
-71.121871 360
-70.770654 360
-70.419436 360
-70.068217 375
-69.716999 375
-69.365781 384
-69.014563 384
-68.663345 400
-68.312127 400
-67.960908 400
-67.60969 432
-67.258472 432
-66.907253 432
-66.556035 432
-66.204816 432
-65.853598 450
-65.502379 450
-65.151161 450
-64.799942 480
-64.448723 480
-64.097505 480
-63.746286 480
-63.395068 480
-63.043849 486
-62.69263 500
-62.341411 500
-61.990193 500
-61.638974 512
-61.287755 512
-60.936536 540
-60.585317 540
-60.234099 540
-59.88288 540
-59.531661 540
-59.180442 576
-58.829223 576
-58.478004 576
-58.126785 576
-57.775566 576
-57.424348 576
-57.073129 600
-56.72191 600
-56.370691 600
-56.019472 600
-55.668253 600
-55.317034 640
-54.965815 640
-54.614596 640
-54.263377 640
-53.912158 640
-53.560939 640
-53.20972 640
-52.858501 640
-52.507282 648
-52.156062 675
-51.804843 675
-51.453624 675
-51.102405 675
-50.751186 675
-50.399967 675
-50.048748 720
-49.697529 720
-49.34631 720
-48.995091 720
-48.643871 720
-48.292652 720
-47.941433 720
-47.590214 720
-47.238995 720
-46.887776 729
-46.536557 729
-46.185337 750
-45.834118 750
-45.482899 750
-45.13168 750
-44.780461 750
-44.429242 768
-44.078022 768
-43.726803 768
-43.375584 768
-43.024365 800
-42.673146 800
-42.321926 800
-41.970707 800
-41.619488 800
-41.268269 800
-40.91705 800
-40.56583 800
-40.214611 810
-39.863392 810
-39.512173 864
-39.160953 864
-38.809734 864
-38.458515 864
