table2Version;indicatorOfParameter;shortName;comment
1;61;tp;Total precipitation  [kg m-2]
2;61;tp;Total precipitation  [kg m-2]
3;61;tp;Total precipitation  [kg m-2]
253;0;unknown;Reserved  [n/a]
253;1;pres;Pressure  [Pa]
253;2;msl;Pressure reduced to MSL  [Pa]
253;3;ptend;Pressure tendency  [Pa s-1]
253;4;pv;Potential vorticity  [K m2 kg-1 s-1]
253;5;icaht;ICAO Standard Atmosphere reference height  [m]
253;6;z;Geopotential  [m2 s-2]
253;7;gh;Geopotential height  [gpm]
253;8;h;Geometrical height  [m]
253;9;hstdv;Standard deviation of height  [m]
253;10;tco3;Total ozone  [Dobson]
253;11;t;Temperature  [K]
253;12;vtmp;Virtual temperature  [K]
253;13;pt;Potential temperature  [K]
253;14;papt;Pseudo-adiabatic potential temperature  [K]
253;15;tmax;Maximum temperature  [K]
253;16;tmin;Minimum temperature  [K]
253;17;dpt;Dew-point temperature  [K]
253;18;depr;Dew-point depression (or deficit)  [K]
253;19;lapr;Lapse rate  [K m-1]
253;20;vis;Visibility  [m]
253;21;rdsp1;Radar spectra (1)  [-]
253;22;rdsp2;Radar spectra (2)  [-]
253;23;rdsp3;Radar spectra (3)  [-]
253;24;pli;Parcel lifted index (to 500 hPa)  [K]
253;25;ta;Temperature anomaly  [K]
253;26;presa;Pressure anomaly  [Pa]
253;27;gpa;Geopotential height anomaly  [gpm]
253;28;wvsp1;Wave spectra (1)  [-]
253;29;wvsp2;Wave spectra (2)  [-]
253;30;wvsp3;Wave spectra (3)  [-]
253;31;wdir;Wind direction  [Degree true]
253;32;ws;Wind speed  [m s-1]
253;33;u;u-component of wind  [m s-1]
253;34;v;v-component of wind  [m s-1]
253;35;strf;Stream function  [m2 s-1]
253;36;vp;Velocity potential  [m2 s-1]
253;37;mntsf;Montgomery stream function  [m2 s-1]
253;38;sgcvv;Sigma coordinate vertical velocity  [s-1]
253;39;w;Vertical velocity  [Pa s-1]
253;40;tw;Vertical velocity  [m s-1]
253;41;absv;Absolute vorticity  [s-1]
253;42;absd;Absolute divergence  [s-1]
253;43;vo;Relative vorticity  [s-1]
253;44;d;Relative divergence  [s-1]
253;45;vucsh;Vertical u-component shear  [s-1]
253;46;vvcsh;Vertical v-component shear  [s-1]
253;47;dirc;Direction of current  [Degree true]
253;48;spc;Speed of current  [m s-1]
253;49;ucurr;u-component of current  [m s-1]
253;50;vcurr;v-component of current  [m s-1]
253;51;q;Specific humidity  [kg kg-1]
253;52;r;Relative humidity  [%]
253;53;mixr;Humidity mixing ratio  [kg kg-1]
253;54;pwat;Precipitable water  [kg m-2]
253;55;vp;Vapor pressure  [Pa]
253;56;satd;Saturation deficit  [Pa]
253;57;e;Evaporation  [kg m-2]
253;58;cicw;Cloud ice  [kg m-2]
253;59;prate;Precipitation rate  [kg m-2 s-1]
253;60;tstm;Thunderstorm probability  [%]
253;61;tp;Total precipitation  [kg m-2]
253;62;lsp;Large scale precipitation  [kg m-2]
253;63;acpcp;Convective precipitation  [kg m-2]
253;64;srweq;Snowfall rate water equivalent  [kg m-2 s-1]
253;65;sf;Water equivalent of accumulated snow depth  [kg m-2]
253;66;sd;Snow depth  [m]
253;67;mld;Mixed layer depth  [m]
253;68;tthdp;Transient thermocline depth  [m]
253;69;mthd;Main thermocline depth  [m]
253;70;mtha;Main thermocline anomaly  [m]
253;71;tcc;Total cloud cover  [%]
253;72;ccc;Convective cloud cover  [%]
253;73;lcc;Low cloud cover  [%]
253;74;mcc;Medium cloud cover  [%]
253;75;hcc;High cloud cover  [%]
253;76;cwat;Cloud water  [kg m-2]
253;77;bli;Best lifted index (to 500 hPa)  [K]
253;78;csf;Convective snow  [kg m-2]
253;79;lssf;Large scale snow  [kg m-2]
253;80;wtmp;Water temperature  [K]
253;81;lsm;Land cover (1 = land, 0 = sea)  [Proportion]
253;82;dslm;Deviation of sea level from mean  [m]
253;83;sr;Surface roughness  [m]
253;84;al;Albedo  [%]
253;85;st;Soil temperature  [K]
253;86;sm;Soil moisture content  [kg m-2]
253;87;vegrea;Vegetation  [%]
253;88;s;Salinity  [kg kg-1]
253;89;den;Density  [kg m-3]
253;90;ro;Water run-off  [kg m-2]
253;91;icec;Ice cover (1 = ice, 0 = no ice)  [Proportion]
253;92;icetk;Ice thickness  [m]
253;93;diced;Direction of ice drift  [Degree true]
253;94;siced;Speed of ice drift  [m s-1]
253;95;uice;u-component of ice drift  [m s-1]
253;96;vice;v-component of ice drift  [m s-1]
253;97;iceg;Ice growth rate  [m s-1]
253;98;iced;Ice divergence  [s-1]
253;99;snom;Snow melt  [kg m-2]
253;100;swh;Significant height of combined wind waves and swell  [m]
253;101;mdww;Direction of wind waves  [Degree true]
253;102;shww;Significant height of wind waves  [m]
253;103;mpww;Mean period of wind waves  [s]
253;104;swdi;Direction of swell waves  [Degree true]
253;105;swell;Significant height of swell waves  [m]
253;106;swper;Mean period of swell waves  [s]
253;107;mdps;Primary wave direction  [Degree true]
253;108;mpps;Primary wave mean period  [s]
253;109;dirsw;Secondary wave direction  [Degree true]
253;110;swp;Secondary wave mean period  [s]
253;111;nswrs;Net short-wave radiation flux (surface)  [W m-2]
253;112;nlwrs;Net long-wave radiation flux (surface)  [W m-2]
253;113;nswrt;Net short-wave radiation flux (top of atmosphere)  [W m-2]
253;114;nlwrt;Net long-wave radiation flux (top of atmosphere)  [W m-2]
253;115;lwavr;Long-wave radiation flux  [W m-2]
253;116;swavr;Short-wave radiation flux  [W m-2]
253;117;grad;Global radiation flux  [W m-2]
253;118;btmp;Brightness temperature  [K]
253;119;lwrad;Radiance (with respect to wave number)  [W m-1 sr-1]
253;120;swrad;Radiance (with respect to wave length)  [W m-3 sr-1]
253;121;lhf;Latent heat flux  [W m-2]
253;122;shf;Sensible heat flux  [W m-2]
253;123;bld;Boundary layer dissipation  [W m-2]
253;124;uflx;Momentum flux, u-component  [N m-2]
253;125;vflx;Momentum flux, v-component  [N m-2]
253;126;wmixe;Wind mixing energy  [J]
253;127;imgd;Image data  [-]
253;128;armsp;Analysed RMS of PHI (CANARI)  [m2 s-2]
253;129;frmsp;Forecasted RMS of PHI (CANARI)  [m2 s-2]
253;130;cssw;SW net clear sky rad  [W m-2]
253;131;cslw;LW net clear sky rad  [W m-2]
253;132;lhe;Latent heat flux through evaporation  [W m-2]
253;133;msca;Mask of significant cloud amount  [
253;134;unknown;Available  [
253;135;psct;Icing index  [Code table]
253;136;unknown;Pseudo satellite image, cloud top temperature (infrared)  [K]
253;137;pstb;Pseudo satellite image, water vapour brightness temperature  [K]
253;138;pstbc;Pseudo satellite image, water vapour br. temp. + correction for clouds  [K]
253;139;pscw;Pseudo satellite image, cloud water reflectivity (visible)  [?]
253;140;unknown;Available  [
253;141;unknown;Available  [
253;142;unknown;Available  [
253;143;unknown;Available  [
253;144;prtp;Precipition Type  [Code table]
