"field";"name";"comment"
0 ;var0; undefined
1 ;PRES; Pressure [Pa]
2 ;PRMSL; Pressure reduced to MSL [Pa]
3 ;PTEND; Pressure tendency [Pa/s]
4 ;PVORT; Pot. vorticity [km^2/kg/s]
5 ;ICAHT; ICAO Standard Atmosphere Reference Height [M]
6 ;GP; Geopotential [m^2/s^2]
7 ;HGT; Geopotential height [gpm]
8 ;DIST; Geometric height [m]
9 ;HSTDV; Std dev of height [m]
10 ;TOZNE; Total ozone [Dobson]
11 ;TMP; Temp. [K]
12 ;VTMP; Virtual temp. [K]
13 ;POT; Potential temp. [K]
14 ;EPOT; Pseudo-adiabatic pot. temp. [K]
15 ;TMAX; Max. temp. [K]
16 ;TMIN; Min. temp. [K]
17 ;DPT; Dew point temp. [K]
18 ;DEPR; Dew point depression [K]
19 ;LAPR; Lapse rate [K/m]
20 ;VIS; Visibility [m]
21 ;RDSP1; Radar spectra (1) [non-dim]
22 ;RDSP2; Radar spectra (2) [non-dim]
23 ;RDSP3; Radar spectra (3) [non-dim]
24 ;PLI; Parcel lifted index (to 500 hPa) [K]
25 ;TMPA; Temp. anomaly [K]
26 ;PRESA; Pressure anomaly [Pa]
27 ;GPA; Geopotential height anomaly [gpm]
28 ;WVSP1; Wave spectra (1) [non-dim]
29 ;WVSP2; Wave spectra (2) [non-dim]
30 ;WVSP3; Wave spectra (3) [non-dim]
31 ;WDIR; Wind direction [deg]
32 ;WIND; Wind speed [m/s]
33 ;UGRD; u wind [m/s]
34 ;VGRD; v wind [m/s]
35 ;STRM; Stream function [m^2/s]
36 ;VPOT; Velocity potential [m^2/s]
37 ;MNTSF; Montgomery stream function [m^2/s^2]
38 ;SGCVV; Sigma coord. vertical velocity [/s]
39 ;VVEL; Pressure vertical velocity [Pa/s]
40 ;DZDT; Geometric vertical velocity [m/s]
41 ;ABSV; Absolute vorticity [/s]
42 ;ABSD; Absolute divergence [/s]
43 ;RELV; Relative vorticity [/s]
44 ;RELD; Relative divergence [/s]
45 ;VUCSH; Vertical u shear [/s]
46 ;VVCSH; Vertical v shear [/s]
47 ;DIRC; Direction of current [deg]
48 ;SPC; Speed of current [m/s]
49 ;UOGRD; u of current [m/s]
50 ;VOGRD; v of current [m/s]
51 ;SPFH; Specific humidity [kg/kg]
52 ;RH; Relative humidity [%]
53 ;MIXR; Humidity mixing ratio [kg/kg]
54 ;PWAT; Precipitable water [kg/m^2]
55 ;VAPP; Vapour pressure [Pa]
56 ;SATD; Saturation deficit [Pa]
57 ;EVP; Evaporation [kg/m^2]
58 ;CICE; Cloud Ice [kg/m^2]
59 ;PRATE; Precipitation rate [kg/m^2/s]
60 ;TSTM; Thunderstorm probability [%]
61 ;APCP; Total precipitation [kg/m^2]
62 ;NCPCP; Large scale precipitation [kg/m^2]
63 ;ACPCP; Convective precipitation [kg/m^2]
64 ;SRWEQ; Snowfall rate water equiv. [kg/m^2/s]
65 ;WEASD; Water equivalent of accum. snow depth [kg/m^2]
66 ;SD; Snow depth [m]
67 ;MIXHT; Mixed layer depth [m]
68 ;TTHDP; Transient thermocline depth [m]
69 ;MTHD; Main thermocline depth [m]
70 ;MTHA; Main thermocline anomaly [m]
71 ;TCDC; Total cloud cover [%]
72 ;CDCON; Convective cloud cover [%]
73 ;LCDC; Low level cloud cover [%]
74 ;MCDC; Mid level cloud cover [%]
75 ;HCDC; High level cloud cover [%]
76 ;CWAT; Cloud liquid water content [kg/kg]
77 ;BLI; Best lifted index (to 500 hPa) [K]
78 ;SNOC; Convective snowfall [kg/m^2]
79 ;SNOL; Large-scale snowfall [kg/m^2]
80 ;WTMP; Water temp. [K]
81 ;LAND; Land cover (land=1, sea=0) [fraction]
82 ;DSLM; Deviation of sea level from mean [m]
83 ;SFCR; Surface roughness [m]
84 ;ALBDO; Albedo [%]
85 ;TSOIL; Surface temperature of soil [K]
86 ;SOILM; Soil moisture content [kg/m^2]
87 ;VEG; Vegetation [%]
88 ;SALTY; Salinity [kg/kg]
89 ;DEN; Density [kg/m^3]
90 ;WATR; Water run-off [kg/m^2]
91 ;ICEC; Ice cover (ice=1,no ice=0) [fraction]
92 ;ICETK; Ice thickness [m]
93 ;DICED; Direction of ice drift [deg]
94 ;SICED; Speed of ice drift [m/s]
95 ;UICE; u of ice drift [m/s]
96 ;VICE; v of ice drift [m/s]
97 ;ICEG; Ice growth rate [m/s]
98 ;ICED; Ice divergence [/s]
99 ;SNOM; Snowmelt [kg/m^2]
100 ;HTSGW; Significant height of wind waves and swell [m]
101 ;WDWW;  Mean direction of wind waves [deg]
102 ;SHWW; Significant height of wind waves [m]
103 ;MPWW; Mean period of wind waves [s]
104 ;SWDIR; Direction of swell waves [deg]
105 ;SWELL; Significant height of swell waves [m]
106 ;SWPER; Mean period of swell waves [s]
107 ;MDPS; Mean direction of primary swell [deg]
108 ;MPPS; Mean period of primary swell [s]
109 ;DIRSW; Secondary wave direction [deg]
110 ;PERSW; Secondary wave mean period [s]
111 ;NSWRS; Net short wave radiation flux (surface) [W/m^2]
112 ;NLWRS; Net long wave radiation flux (surface) [W/m^2]
113 ;NSWRT; Net short wave radiation flux (top) [W/m^2]
114 ;NLWRT; Net long wave radiation flux (top) [W/m^2]
115 ;LWAVR; Long wave radiation flux [W/m^2]
116 ;SWAVR; Short wave radiation flux [W/m^2]
117 ;GRAD; Global radiation flux [W/m^2]
118 ;BRTMP; Brightness temperature [K]
119 ;LWRAD; Radiance with respect to wave no. [W/m/sr]
120 ;SWRAD; Radiance with respect ot wave len. [W/m^3/sr]
121 ;SLHF; Surface latent heat flux [W/m^2]
122 ;SSHF; Surface sensible heat flux [W/m^2]
123 ;BLD; Boundary layer dissipation [W/m^2]
124 ;none; TURBULENT MOMENTUM FLUX U-COMPONENT
125 ;none; TURBULENT MOMENTUM FLUX V-COMPONENT
126 ;none; SMALL SCALE OROGR MOM FLUX U-COMP
127 ;none; SMALL SCALE OROGR MOM FLUX V-COMP
128 ;none; TURBULENT MOMENTUM FLUX SCALAR
131 ;none; CLOUD TOP TEMPERATURE
132 ;none; WATER VAPOUR TEMPERATURE
133 ;none; WATER VAPOUR TEMPERATURE(2)
134 ;none; CLOUD REFLECTIVITY
135 ;none; MAXIMUM 10M WIND SPEED
136 ;none; MINIMUM 10M WIND SPEED
137 ;none; TOTAL CLOUD CONDENSATE CONTENT
138 ;none; SNOW DEPTH IN METRES
140 ;none; TEMPERATURE, LAND FRACTION AVERAGE
141 ;none; SPECIFIC HUMIDITY, LAND FRACTION AVERAGE
142 ;none; RELATIVE HUMIDITY, LAND FRACTION AVERAGE
143;none; DEW POINT TEMPERATURE, LAND FRACTION AVERAGE
149;none; WEIGHTED VERTICALLY AVERAGED CLOUD DROP RADII
160;none; SLOPE FACTOR (ACC.DIAG) FOR RADIATION
161;none; SHADOW FACTOR (ACC.DIAG) FOR RADIATION
162;none; SHADOW COEFFICIENT A FOR RADIATION (8)
163;none; SHADOW COEFFICIENT B FOR RADIATION (8)
164;none; MOMENTUM VEGETATION ROUGHNESS
165;none; SLOPE OF SUBORO FOR RADIATION (8+mean)
166;none; SKY VIEW FACTOR DUE TO SUBORO
167;none; DIRECTIONAL FRACTION OF SUBORO ASPECT (8)
168;none; HEAT ROUGHNESS
169;none; REAL ALBEDO FROM MODEL
170;none; FOREST: CLEARING- FRACTION
171;none; FOREST: CONIFERIOUS, DENSE [fraction]
172;none; FOREST: CONIFERIOUS, SPARSE [fraction]
173;none; FOREST: DECIDIOUS, DENSE [fraction]
174;none; FOREST: DECIDIOUS, SPARSE [fraction]
175;none; FOREST: MIXED (= CONIF. & DECID.) [fraction]
176;none; FOREST: BUSH LAND [fraction]
179;none; FOREST: UNDEFINED FOREST [fraction]
180;none; OPEN LAND: AGRICLT/VEGTATD, NON-IRRIGATED[fraction] 
181;none; OPEN LAND: BARE MOUNTAIN [fraction]
182;none; OPEN LAND: BARE SOIL [fraction]
183;none; OPEN LAND: MARSH, WET [fraction]
184;none; OPEN LAND: MARSH, DRY [fraction]
185;none; OPEN LAND: ICE/SNOW (PERMANENT) [fraction]
186;none; OPEN LAND: AGRICLT/VEGTATD, IRRIGATED [fraction]
187;none; OPEN LAND: GRASS LAND [fraction]
188;none; OPEN LAND: URBAN AREA [fraction]
189;none; SOIL WETNESS INDEX
190;none; SNOW ALBEDO
191;none; SNOW DENSITY
192;none; ON CANOPY LAYER WATER
193;none; SOIL ICE CONTENT
194;none; FRACTIONS OF SURFACE SUBTYPES 1..5
195;none; SOIL TYPE (CODE NUMBER : 1,2 .... 9)
196;none; LAKE [fraction]
197;none; FOREST [fraction]
198;none; OPEN LAND [fraction]
199;none; VEGETATION TYPE
200;none; TURBULENCE KINETIC ENERGY
201;none; free turbulence parameter
202;none; free turbulence parameter
203;none; free turbulence parameter
204;none; STD DEV OF MESOSCALE OROGRAPHY
205;none; ANISOTROPY MESOSCALE OROGRAPHY
206;none; X-ANGLE OF MESOSCALE OROGRAPHY
207;none; MESOSCALE SLOPE PARAMETER
208;none; MAXIMUM SLOPE OF SMALLEST SCALE OROGRAPHY
209;none; STD DEV OF SMALLEST SCALE OROGRAPHY
210;none; DTDT DUE TO ALL PARAMETRIZATIONS
211;none; DTDT DUE TO TURBULENCE
212;none; DTDT DUE TO RADIATION
219;none; DTHDT DUE TO ALL PARAMETRIZATIONS
220;none; DQDT DUE TO ALL PARAMETRIZATIONS
221;none; DQDT DUE TO TURBULENCE
222;none; LIFTING CONDENSATION LEVEL
223;none; LEVEL OF NEUTRAL BUOYANCY
224;none; CONVECTIVE INHIBITION
225;none; CONVECTIVE AVAILABLE POT ENERGY
226;none; PRECIPITATION TYPE
227;none; FRICTION VELOCITY
228;none; MAXIMUM WIND GUST
230;none; DCWDT DUE TO ALL PARAMETRIZATIONS
231;none; DCWDT DUE TO TURBULENCE
235;none; DKDT DUE TO ALL PARAMETRIZATIONS 
236;none; DKDT DUE TO TURBULENCE 
237;none; DKDT DUE TO MESOSCALE ORO EFFECTS
240;none; DUDT DUE TO ALL PARAMETRIZATIONS
241;none; DUDT DUE TO TURBULENCE
242;none; DUDT DUE TO MESOSCALE ORO EFFECTS
245;none; DVDT DUE TO ALL PARAMETRIZATIONS
246;none; DVDT DUE TO TURBULENCE
247;none; DVDT DUE TO MESOSCALE ORO EFFECTS
255 ; none ; Missing data
