"field";"name";"comment"
000  ;none; Reserved  [n/a]
001  ;pres; Pressure  [Pa]
002  ;msl; Pressure reduced to MSL  [Pa]
003  ;ptend; Pressure tendency  [Pa s-1]
004  ;pv; Potential vorticity  [K m2 kg-1 s-1]
005  ;icaht; ICAO Standard Atmosphere reference height  [m]
006  ;z; Geopotential  [m2 s-2]
007  ;gh; Geopotential height  [gpm]
008  ;h; Geometrical height  [m]
009  ;hstdv; Standard deviation of height  [m]
010  ;tco3; Total ozone  [Dobson]
011  ;t; Temperature  [K]
012  ;vtmp; Virtual temperature  [K]
013  ;pt; Potential temperature  [K]
014  ;papt; Pseudo-adiabatic potential temperature  [K]
015  ;tmax; Maximum temperature  [K]
016  ;tmin; Minimum temperature  [K]
017  ;dpt; Dew-point temperature  [K]
018  ;depr; Dew-point depression (or deficit)  [K]
019  ;lapr; Lapse rate  [K m-1]
020  ;vis; Visibility  [m]
021  ;rdsp1; Radar spectra (1)  [-]
022  ;rdsp2; Radar spectra (2)  [-]
023  ;rdsp3; Radar spectra (3)  [-]
024  ;pli; Parcel lifted index (to 500 hPa)  [K]
025  ;ta; Temperature anomaly  [K]
026  ;presa; Pressure anomaly  [Pa]
027  ;gpa; Geopotential height anomaly  [gpm]
028  ;wvsp1; Wave spectra (1)  [-]
029  ;wvsp2; Wave spectra (2)  [-]
030  ;wvsp3; Wave spectra (3)  [-]
031  ;wdir; Wind direction  [Degree true]
032  ;ws; Wind speed  [m s-1]
033  ;u; u-component of wind  [m s-1]
034  ;v; v-component of wind  [m s-1]
035  ;strf; Stream function  [m2 s-1]
036  ;vp; Velocity potential  [m2 s-1]
037  ;mntsf; Montgomery stream function  [m2 s-1]
038  ;sgcvv; Sigma coordinate vertical velocity  [s-1]
039  ;w; Vertical velocity  [Pa s-1]
040  ;tw; Vertical velocity  [m s-1]
041  ;absv; Absolute vorticity  [s-1]
042  ;absd; Absolute divergence  [s-1]
043  ;vo; Relative vorticity  [s-1]
044  ;d; Relative divergence  [s-1]
045  ;vucsh; Vertical u-component shear  [s-1]
046  ;vvcsh; Vertical v-component shear  [s-1]
047  ;dirc; Direction of current  [Degree true]
048  ;spc; Speed of current  [m s-1]
049  ;ucurr; u-component of current  [m s-1]
050  ;vcurr; v-component of current  [m s-1]
051  ;q; Specific humidity  [kg kg-1]
052  ;r; Relative humidity  [%]
053  ;mixr; Humidity mixing ratio  [kg kg-1]
054  ;pwat; Precipitable water  [kg m-2]
055  ;vp; Vapor pressure  [Pa]
056  ;satd; Saturation deficit  [Pa]
057  ;e; Evaporation  [kg m-2]
058  ;cicw; Cloud ice  [kg m-2]
059  ;prate; Precipitation rate  [kg m-2 s-1]
060  ;tstm; Thunderstorm probability  [%]
061  ;tp; Total precipitation  [kg m-2]
062  ;lsp; Large scale precipitation  [kg m-2]
063  ;acpcp; Convective precipitation  [kg m-2]
064  ;srweq; Snowfall rate water equivalent  [kg m-2 s-1]
065  ;sf; Water equivalent of accumulated snow depth  [kg m-2]
066  ;sd; Snow depth  [m]
067  ;mld; Mixed layer depth  [m]
068  ;tthdp; Transient thermocline depth  [m]
069  ;mthd; Main thermocline depth  [m]
070  ;mtha; Main thermocline anomaly  [m]
071  ;tcc; Total cloud cover  [%]
072  ;ccc; Convective cloud cover  [%]
073  ;lcc; Low cloud cover  [%]
074  ;mcc; Medium cloud cover  [%]
075  ;hcc; High cloud cover  [%]
076  ;cwat; Cloud water  [kg m-2]
077  ;bli; Best lifted index (to 500 hPa)  [K]
078  ;csf; Convective snow  [kg m-2]
079  ;lssf; Large scale snow  [kg m-2]
080  ;wtmp; Water temperature  [K]
081  ;lsm; Land cover (1 = land, 0 = sea)  [Proportion]
082  ;dslm; Deviation of sea level from mean  [m]
083  ;sr; Surface roughness  [m]
084  ;al; Albedo  [%]
085  ;st; Soil temperature  [K]
086  ;sm; Soil moisture content  [kg m-2]
087  ;vegrea; Vegetation  [%]
088  ;s; Salinity  [kg kg-1]
089  ;den; Density  [kg m-3]
090  ;ro; Water run-off  [kg m-2]
091  ;icec; Ice cover (1 = ice, 0 = no ice)  [Proportion]
092  ;icetk; Ice thickness  [m]
093  ;diced; Direction of ice drift  [Degree true]
094  ;siced; Speed of ice drift  [m s-1]
095  ;uice; u-component of ice drift  [m s-1]
096  ;vice; v-component of ice drift  [m s-1]
097  ;iceg; Ice growth rate  [m s-1]
098  ;iced; Ice divergence  [s-1]
099  ;snom; Snow melt  [kg m-2]
100  ;swh; Significant height of combined wind waves and swell  [m]
101  ;mdww; Direction of wind waves  [Degree true]
102  ;shww; Significant height of wind waves  [m]
103  ;mpww; Mean period of wind waves  [s]
104  ;swdi; Direction of swell waves  [Degree true]
105  ;swell; Significant height of swell waves  [m]
106  ;swper; Mean period of swell waves  [s]
107  ;mdps; Primary wave direction  [Degree true]
108  ;mpps; Primary wave mean period  [s]
109  ;dirsw; Secondary wave direction  [Degree true]
110  ;swp; Secondary wave mean period  [s]
111  ;nswrs; Net short-wave radiation flux (surface)  [W m-2]
112  ;nlwrs; Net long-wave radiation flux (surface)  [W m-2]
113  ;nswrt; Net short-wave radiation flux (top of atmosphere)  [W m-2]
114  ;nlwrt; Net long-wave radiation flux (top of atmosphere)  [W m-2]
115  ;lwavr; Long-wave radiation flux  [W m-2]
116  ;swavr; Short-wave radiation flux  [W m-2]
117  ;grad; Global radiation flux  [W m-2]
118  ;btmp; Brightness temperature  [K]
119  ;lwrad; Radiance (with respect to wave number)  [W m-1 sr-1]
120  ;swrad; Radiance (with respect to wave length)  [W m-3 sr-1]
121  ;lhf; Latent heat flux  [W m-2]
122  ;shf; Sensible heat flux  [W m-2]
123  ;bld; Boundary layer dissipation  [W m-2]
124  ;uflx; Momentum flux, u-component  [N m-2]
125  ;vflx; Momentum flux, v-component  [N m-2]
126  ;wmixe; Wind mixing energy  [J]
127  ;imgd; Image data  [-]
128  ;armsp; Analysed RMS of PHI (CANARI)  [m2 s-2]
129  ;frmsp; Forecasted RMS of PHI (CANARI)  [m2 s-2]
130  ;cssw; SW net clear sky rad  [W m-2]
131  ;cslw; LW net clear sky rad  [W m-2]
132  ;lhe; Latent heat flux through evaporation  [W m-2]
133  ;msca; Mask of significant cloud amount  [#]
134  ;none; Available  [#]
135  ;psct; Icing index  [Code table]
136  ;none; Pseudo satellite image, cloud top temperature (infrared)  [K]
137  ;pstb; Pseudo satellite image, water vapour brightness temperature  [K]
138  ;pstbc; Pseudo satellite image, water vapour br. temp. + correction for clouds  [K]
139  ;pscw; Pseudo satellite image, cloud water reflectivity (visible)  [?]
140  ;none; Available  [#]
141  ;none; Available  [#]
142  ;none; Available  [#]
143  ;none; Available  [#]
144  ;prtp; Precipition Type  [Code table]
145  ;none; Available  [#]
146  ;none; Available  [#]
147  ;none; Available  [#]
148  ;none; Available  [#]
149  ;none; Available  [#]
150  ;none; Available  [#]
151  ;none; Available  [#]
152  ;none; Available  [#]
153  ;none; Available  [#]
154  ;none; Available  [#]
155  ;none; Available  [#]
156  ;none; Available  [#]
157  ;none; Available  [#]
158  ;none; Surface downward moon radiation  [W m-2]
159  ;none; Available  [#]
160  ;cape; CAPE out of the model  [J kg-1]
161  ;xhail; AROME hail diagnostic  [%]
162  ;ugst; U-momentum of gusts out of the model  [m s-1]
163  ;vgst; V-momentum of gusts out of the model  [m s-1]
164  ;none; Available  [#]
165  ;none; Available  [#]
166  ;mcn; MOCON out of the model  [kg/kg s-1]
167  ;totqv; Total water vapour
168  ;none; Available  [#]
169  ;none; Available  [#]
170  ;none; Brightness temperature OZ clear  [K]
171  ;none; Brightness temperature OZ cloud  [K]
172  ;none; Brightness temperature IR clear  [K]
173  ;none; Brightness temperature IR cloud  [K]
174  ;none; Brightness temperature WV clear  [K]
175  ;none; Brightness temperature WV cloud  [K]
176  ;none; Available  [#]
177  ;none; Available  [#]
178  ;none; Available  [#]
179  ;none; Available  [#]
180  ;none; Available  [#]
181  ;rain; Rain  [kg m-2]
182  ;srain; Stratiform Rain  [kg m-2]
183  ;cr; Convective Rain  [kg m-2]
184  ;none; Snow  [kg m-2]
185  ;tpsolid; Total solid precipitation  [kg m-2]
186  ;none; Cloud base [#]
187  ;ct; Cloud top  [#]
188  ;ful; Fraction of urban land  [Proportion]
189  ;none; Available  [#]
190  ;none; Snow Albedo  [Proportion]
191  ;rsn; Snow density  [kg/m3]
192  ;w_i; Water on canopy  [kg/m2]
193  ;w_so_ice; Soil ice  [kg/m2]
194  ;none; Available  [#]
195  ;gwdu; Gravity wave stress U-comp  [N/m2]
196  ;gwdv; Gravity wave stress V-comp  [N/m2]
197  ;none; Available  [#]
198  ;none; Available  [#]
199  ;none; Vegetation type  [-]
200  ;tke; TKE  [m2 s-2]
201  ;grpl; Graupel  [kg m-2]
202  ;none; Stratiform Graupel  [kg m-2]
203  ;none; Convective Graupel  [kg m-2]
204  ;hail; Hail  [kg m-2]
205  ;none; Stratiform Hail  [kg m-2]
206  ;none; Convective Hail  [kg m-2]
207  ;none; Available  [#]
208  ;none; Available  [#]
209  ;lgt; Lightning [#]
210  ;refl; Simulated reflectivity  [dBz]
211  ;none; Available  [#]
212  ;pdep; Pressure departure  [Pa]
213  ;vdiv; Vertical divergence  [s-1]
214  ;upom; UD_OMEGA  [ms-1?]
215  ;dnom; DD_OMEGA  [ms-1?]
216  ;upmf; UD_MESH_FRAC  [-]
